"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Luxembourg","LUX","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Luxembourg","LUX","Voice and Accountability: Standard Error","VA.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.242732837796211","","0.258143037557602","","0.241134151816368","","0.237350568175316","0.232990935444832","0.228559032082558","0.231447145342827","0.178238436579704","0.17585363984108","0.169332340359688","0.166747763752937","0.163703367114067","0.161986157298088","0.157095238566399","0.151881396770477","0.172793075442314","0.169728800654411","0.159270986914635","0.161406636238098","0.164488717913628","0.155716508626938","0.119024693965912","0.110341459512711","0.109384782612324","",
"Luxembourg","LUX","Voice and Accountability: Number of Sources","VA.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","5","","6","","5","6","6","6","7","7","8","9","9","9","9","9","7","7","8","8","8","7","7","9","9","",
"Luxembourg","LUX","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7099335722732","8.01086863835501","10.3198851314199","8.7764265788139","9.04638881405491","8.68039139994523","6.84339519420279","5.97249790631221","7.10632590548736","7.96704802182564","6.96872980926902","6.97321919434768","6.57337439753274","5.6189454485371","6.07486245695313","5.86625622899729","",
"Luxembourg","LUX","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.2196811426","42.070229549","40.8377314415","46.2225299146","47.9059407558","48.7607794827","56.9387520779","59.5960270745","77.5827919917","94.8100512547","109.6737893759","133.6300075362","130.6384690094","149.9148526347","124.5027592572","115.2239836865","121.7460820959","109.884925599","107.7250439543","111.4344515495","100","92.1632575827","91.9575111811","95.7579941115","95.9873885159","80.7451607887","96.9911935258","","",
"Luxembourg","LUX","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00911521965268","0.994721018892174","0.787256351134406","0.527199291048858","0.672763216479476","0.536878009348118","0.481531461331936","0.385935949897585","0.333930700833796","0.301882145219479","0.330143112558636","0.359914705153663","0.502474738326122","0.644045318260808","1.07248127307095","1.19247064515421","0.675076710585939","0.841104266905148","0.909066722878491","0.785299680848133","0.893855717469308","0.998940412401406","0.770105927549192","0.931473462151932","","","",
"Luxembourg","LUX","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.45101945965092","1.05582753994065","0.812648521996373","0.964387826371678","0.902077920913701","1.01952478925836","0.906656009943701","1.2545735713284","1.76250824014605","2.47312116112009","3.47178839979853","2.71464816074513","2.08580752401529","3.5265437028792","4.88233825869493","5.0900989235083","4.14962710070408","2.42174708866997","2.17802356145059","2.3357771964438","2.46134449140265","2.81327840734789","2.97421988917844","3.13164647470793","","","",
"Luxembourg","LUX","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8203000000","8378000000","9759000000","10214000000","13297000000","16250000000","19120000000","22980000000","22933000000","25694000000","21339000000","19748000000","20866000000","18833000000","18441000000","19099000000","17139000000","15796000000","15761000000","16412000000","16451000000","13839000000","16800000000","17274000000","",
"Luxembourg","LUX","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.8094368246188","70.4506120552913","68.0790611786879","66.5158629884152","64.0797770721993","64.0266416755504","67.2293014355429","71.4229874127056","73.2427567323432","69.0611900589275","66.5586799218397","67.4665359422965","65.8089540043342","64.3940536725819","63.8564292905129","63.574679353412","63.6024731303294","61.4540037083498","62.0969754212211","60.1789551149257","58.7101707578489","56.8463009055923","56.1391693822282","54.8562686135841","",
"Luxembourg","LUX","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.796668803711733","0.595589760460604","0.503765559149412","0.651012642789166","0.98032742962179","0.831833281292651","0.744560264845497","0.766973395936608","0.813344553386231","0.578053069761913","0.971629635814493","3.02418819382916","3.62633061300325","2.99482885375794","2.41826620285707","2.0033841186195","1.93339279665593","1.96743768583197","2.28800739043272","1.52209156166311","1.36654253294287","1.30135474108203","0.88408480107597","0.675771565335424","",
